arm,mbar,dt,seed,epoch,tag_pop,pop_trig,n_tagged,removed,gamma
chronic,26,0,147,79,177,205,34,34,17.0
chronic,26,0,147,81,209,243,40,40,19.0
chronic,26,0,147,83,227,263,44,44,19.0
chronic,26,0,147,84,203,237,40,40,19.0
chronic,26,0,147,85,195,219,36,36,19.0
chronic,26,0,147,86,171,203,34,34,19.0
chronic,26,0,147,88,177,207,34,34,21.0
chronic,26,0,147,90,199,229,38,38,25.0
chronic,26,0,147,94,311,363,60,60,25.0
chronic,26,0,147,96,325,371,62,62,25.0
chronic,26,0,147,98,315,363,60,60,25.0
chronic,26,0,147,99,287,317,52,52,25.0
chronic,26,0,148,50,7,9,2,2,14.0
chronic,26,0,148,51,19,21,4,4,15.0
chronic,26,0,148,52,41,49,8,8,15.0
chronic,26,0,148,53,51,57,10,10,15.0
chronic,26,0,148,54,57,67,12,12,15.0
chronic,26,0,148,55,67,77,12,12,15.0
chronic,26,0,148,56,75,85,14,14,15.0
chronic,26,0,148,57,89,99,16,16,15.0
chronic,26,0,148,58,97,113,18,18,15.0
chronic,26,0,148,59,103,123,20,20,15.0
chronic,26,0,148,60,109,129,22,22,15.0
chronic,26,0,148,61,111,131,22,22,15.0
chronic,26,0,148,62,117,139,24,24,15.0
chronic,26,0,148,63,119,141,24,24,15.0
chronic,26,0,148,64,119,143,24,24,15.0
chronic,26,0,148,65,111,123,20,20,15.0
chronic,26,0,148,66,103,123,20,20,16.0
chronic,26,0,148,67,101,115,20,20,16.0
chronic,26,0,148,68,101,119,20,20,16.0
chronic,26,0,148,69,103,119,20,20,16.0
chronic,26,0,148,70,109,125,20,20,17.0
chronic,26,0,148,71,109,125,20,20,16.0
chronic,26,0,148,72,109,127,22,22,16.0
chronic,26,0,148,73,111,131,22,22,17.0
chronic,26,0,148,74,109,129,22,22,15.0
chronic,26,0,148,75,117,135,22,22,14.0
chronic,26,0,148,76,111,133,22,22,14.0
chronic,26,0,148,77,101,117,20,20,14.0
chronic,26,0,148,78,99,109,18,18,14.0
chronic,26,0,148,79,99,109,18,18,21.0
chronic,26,0,148,80,91,109,18,18,21.0
chronic,26,0,148,81,89,105,18,18,21.0
chronic,26,0,148,82,97,113,18,18,23.0
chronic,26,0,148,83,101,119,20,20,23.0
chronic,26,0,148,85,145,171,28,28,23.0
chronic,26,0,148,89,265,315,52,52,23.0
chronic,26,0,148,93,371,427,72,72,23.0
chronic,26,0,148,94,345,389,64,64,23.0
chronic,26,0,148,96,333,389,64,64,23.0
chronic,26,0,148,98,309,369,62,62,23.0
chronic,26,0,148,100,303,349,58,58,25.0
chronic,26,0,149,50,7,9,2,2,9.0
chronic,26,0,149,51,17,21,4,4,9.0
chronic,26,0,149,52,29,35,6,6,9.0
chronic,26,0,149,53,39,47,8,8,9.0
chronic,26,0,149,54,43,51,8,8,9.0
chronic,26,0,149,55,51,61,10,10,9.0
chronic,26,0,149,56,57,69,12,12,9.0
chronic,26,0,149,57,61,73,12,12,9.0
